Gene ID,Localization,Product Description,Category,CtermTryptag,NtermTryptag
Tb927.8.4110,Unknown,"Flagellum adhesion protein 3, putative",Cytoskeleton,Unknown,Unknown
Tb927.8.7840,Unknown,"dynein heavy chain, cytosolic, putative",Cytoskeleton,Unknown,Unknown
Tb11.02.5060b,Unknown,"SNF2 DNA repair protein, putative",DNA,Unknown,Unknown
Tb11.v5.0526,Unknown,"DNA polymerase kappa, putative",DNA,Unknown,Unknown
Tb11.v5.0661,Unknown,"DNA polymerase kappa, putative",DNA,Unknown,Unknown
Tb11.v5.0711,Unknown,"DNA polymerase kappa, putative",DNA,Unknown,Unknown
Tb11.v5.0756,Unknown,"DNA polymerase kappa, putative",DNA,Unknown,Unknown
Tb11.v5.0764,Unknown,"DNA polymerase kappa, putative",DNA,Unknown,Unknown
Tb11.v5.0860,Unknown,"endonuclease G, putative",DNA,Unknown,Unknown
Tb11.v5.0878,Unknown,"DNA polymerase kappa, putative",DNA,Unknown,Unknown
Tb11.v5.1040,Unknown,"mismatch repair protein, putative",DNA,Unknown,Unknown
Tb11.v5.1050,Unknown,"DNA polymerase kappa, putative",DNA,Unknown,Unknown
Tb11.v5.1056,Unknown,"DNA polymerase kappa, putative",DNA,Unknown,Unknown
Tb927.10.12310,Unknown,helicase-like protein,DNA,Unknown,Unknown
Tb927.10.1270,Unknown,"mismatch repair protein, putative",DNA,Unknown,Unknown
Tb927.10.5490,Unknown,predicted HORMA domain protein,DNA,Unknown,Unknown
Tb927.10.6860,Unknown,endonuclease v,DNA,Unknown,Unknown
Tb927.11.10190,Unknown,telomerase reverse transcriptase,DNA,Unknown,Unknown
Tb927.11.11560,Unknown,"DNA topoisomerase II beta, putative",DNA,Unknown,Unknown
Tb927.11.5670,Unknown,"Mnd1 family, putative",DNA,Unknown,Unknown
Tb927.11.6750,Unknown,"DNA ligase, putative",DNA,Unknown,Unknown
Tb927.11.7211,Unknown,"SNF2 DNA repair protein, putative",DNA,Unknown,Unknown
Tb927.11.8480,Unknown,"DNA polymerase kappa, putative",DNA,Unknown,Unknown
Tb927.11.8490,Unknown,"DNA polymerase kappa, putative",DNA,Unknown,Unknown
Tb927.11.8510,Unknown,"DNA polymerase kappa, putative",DNA,Unknown,Unknown
Tb927.11.8520,Unknown,"DNA polymerase kappa, putative",DNA,Unknown,Unknown
Tb927.11.8530,Unknown,"DNA polymerase kappa, putative",DNA,Unknown,Unknown
Tb927.11.9330,Unknown,helicase-like protein,DNA,Unknown,Unknown
Tb927.2.5190,Unknown,Homologous-pairing protein 2 homolog,DNA,Unknown,Unknown
Tb927.3.1050,Unknown,transposase of Tn10,DNA,Unknown,Unknown
Tb927.3.1360,Unknown,"cytosine-specific DNA methylase, putative",DNA,Unknown,Unknown
Tb927.4.2480,Unknown,"8-oxoguanine DNA glycosylase, putative",DNA,Unknown,Unknown
Tb927.5.3760,Unknown,"meiotic recombination protein SPO11, putative",DNA,Unknown,Unknown
Tb927.5.4070,Unknown,PrimPol-like protein 1,DNA,Unknown,Unknown
Tb927.6.5810,Unknown,transposase of Tn10,DNA,Unknown,Unknown
Tb927.7.2060,Unknown,"DNA repair protein, putative",DNA,Unknown,Unknown
Tb927.7.610,Unknown,"mitochondrial DNA ligase homolog, LIG k-alpha",DNA,Unknown,Unknown
Tb927.8.3290,Unknown,"DNA polymerase zeta catalytic subunit, putative",DNA,Unknown,Unknown
Tb927.8.6690,Unknown,"ATP-dependent DEAD/H DNA helicase recQ, putative",DNA,Unknown,Unknown
Tb927.8.6740,Unknown,"DNA repair protein, putative",DNA,Unknown,"nucleoplasm[points],cytoplasm[reticulated]"
Tb927.9.9620,Unknown,"meiotic recombination protein DMC1, putative",DNA,Unknown,Unknown
Tb11.v5.0211,Unknown,"galactokinase-like protein, putative",Enzyme,Unknown,Unknown
Tb11.v5.0212,Unknown,"ribulose-phosphate 3-epimerase, putative",Enzyme,Unknown,Unknown
Tb11.v5.0251,Unknown,"phosphatase, putative",Enzyme,Unknown,Unknown
Tb11.v5.0577,Unknown,"casein kinase I, putative",Enzyme,Unknown,Unknown
Tb11.v5.0672,mitochondrion - IM,"cardiolipin synthetase, putative",Enzyme,mitochondrion - IM,0
Tb11.v5.0729,Unknown,"ribokinase, putative",Enzyme,Unknown,Unknown
Tb11.v5.0866,Unknown,"major vault protein, putative",Enzyme,Unknown,Unknown
Tb927.10.5750,Unknown,"Extradiol ring-cleavage dioxygenase, putative",Enzyme,Unknown,Unknown
Tb927.11.4430,endoplasmic reticulum,"ferric reductase transmembrane protein, putative",Enzyme,endoplasmic reticulum,0
Tb927.11.9160,Unknown,"ATPase-like protein, putative",Enzyme,Unknown,Unknown
Tb927.4.2460,Unknown,"kinatase, putative",Enzyme,Unknown,Unknown
Tb927.6.4870,Unknown,S-adenosylmethionine synthetase,Enzyme,Unknown,Unknown
Tb927.7.1930,Unknown,"nucleoside diphosphatase, putative, ectonucleoside triphosphate diphosphohydrolase 5, putative",Enzyme,Unknown,Unknown
Tb927.7.310,Unknown,"Prostaglandin E synthase, putative",Enzyme,Unknown,Unknown
Tb927.8.3740,Unknown,"pterin 4 alpha carbinolamine dehydratase, putative",Enzyme,Unknown,Unknown
Tb09.v4.0018,Unknown,"expression site-associated gene (ESAG) protein, putative, chrIX additional, unordered contigs, expression site-associated gene 3 (ESAG3) protein, putative",ESAG,Unknown,0
Tb10.v4.0032,Unknown,"expression site- associated gene 3 (ESAG3) protein, putative, expression site associated gene (ESAG) protein, putative, chrX additional, unordered contigs",ESAG,Unknown,Unknown
Tb10.v4.0213,Unknown,"expression site-associated protein 1 (ESAG1), putative, chrX additional, unordered contig, expression site-associated gene (ESAG), putative",ESAG,Unknown,Unknown
Tb10.v4.0218,secretory/endocytic 1,"chrX additional, unordered contigs, expression site-associated gene 3 (ESAG3) protein, putative, expression site-associated gene (ESAG) protein, putative",ESAG,secretory/endocytic 1,0
Tb11.01.6240,Unknown,"expression site-associated gene 2 (ESAG2) protein, putative",ESAG,Unknown,Unknown
Tb11.01.6241,Unknown,"expression site-associated gene (ESAG) protein, putative",ESAG,Unknown,0
Tb11.01.6251,Unknown,"expression site-associated gene 11 (ESAG11) protein, putative",ESAG,Unknown,Unknown
Tb11.1000,Unknown,"expression site-associated gene 9 (ESAG9) protein, putative, chrXI additional, unordered contigs",ESAG,Unknown,Unknown
Tb11.1020,Unknown,"expression site-associated gene 1 (ESAG1) protein, putative, chrXI additional, unordered contigs",ESAG,Unknown,Unknown
Tb11.v5.0126,Unknown,"expression site-associated gene 3 (ESAG3) protein, putative",ESAG,Unknown,0
Tb11.v5.0217,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",ESAG,Unknown,Unknown
Tb11.v5.0281,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",ESAG,Unknown,Unknown
Tb11.v5.0379,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",ESAG,Unknown,Unknown
Tb11.v5.0385,Unknown,"expression site-associated gene 3 (ESAG3) protein, putative",ESAG,Unknown,Unknown
Tb11.v5.0413,Unknown,expression site-associated gene 9 (ESAG9) protein,ESAG,Unknown,Unknown
Tb11.v5.0424,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",ESAG,Unknown,Unknown
Tb11.v5.0429,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",ESAG,Unknown,Unknown
Tb11.v5.0456,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",ESAG,Unknown,Unknown
Tb11.v5.0470,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",ESAG,Unknown,Unknown
Tb11.v5.0484,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",ESAG,Unknown,Unknown
Tb11.v5.0576,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",ESAG,Unknown,Unknown
Tb11.v5.0654,Unknown,"receptor-type adenylate cyclase, putative",ESAG,Unknown,Unknown
Tb11.v5.0676,Unknown,"expression site-associated gene 2 (ESAG2) protein, putative",ESAG,Unknown,Unknown
Tb11.v5.0677,Unknown,"expression site-associated gene 11 (ESAG11) protein, putative",ESAG,Unknown,Unknown
Tb11.v5.0772,Unknown,"expression site-associated gene 9 (ESAG9) protein, putative",ESAG,Unknown,Unknown
Tb11.v5.0788,Unknown,"expression site-associated gene 2 (ESAG2) protein, putative",ESAG,Unknown,Unknown
Tb11.v5.0789,Unknown,"expression site-associated gene 2 (ESAG2) protein, putative",ESAG,Unknown,Unknown
Tb11.v5.0814,secretory/endocytic 1,expression site-associated gene 3 (ESAG3)-like protein,ESAG,secretory/endocytic 1,0
Tb11.v5.0816,Unknown,"expression site-associated gene 2 (ESAG2) protein, putative",ESAG,Unknown,Unknown
Tb11.v5.0830,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",ESAG,Unknown,Unknown
Tb11.v5.0865,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",ESAG,Unknown,Unknown
Tb11.v5.1015,Unknown,"expression site-associated gene 4 (ESAG4) protein, putative",ESAG,Unknown,Unknown
Tb927.1.2040,Unknown,"expression site-associated gene 2 (ESAG2) protein, putative",ESAG,Unknown,Unknown
Tb927.1.4870,Unknown,"expression site-associated gene 1 (ESAG1) protein, putative, expression site-associated gene (ESAG) protein, putative",ESAG,Unknown,cytoplasm[points]
Tb927.1.4910,Unknown,"expression site-associated gene 1 (ESAG1) protein, putative",ESAG,Unknown,Unknown
Tb927.1.5080,Unknown,"expression site-associated gene 9 (ESAG9) protein, putative",ESAG,Unknown,Unknown
Tb927.1.5200,Unknown,"expression site-associated gene 1 (ESAG1) protein, putative",ESAG,Unknown,0
Tb927.1.5220,Unknown,"expression site-associated gene 9 (ESAG9) protein, putative",ESAG,Unknown,Unknown
Tb927.1.5240,endoplasmic reticulum,"expression site-associated gene 1 (ESAG1) protein, putative",ESAG,endoplasmic reticulum,0
Tb927.10.4370,Unknown,"expression site-associated gene (ESAG) protein, putative, expression site-associated gene 3 (ESAG3) protein, putative",ESAG,Unknown,Unknown
Tb927.10.60,Unknown,"expression site-associated gene (ESAG), putative",ESAG,Unknown,Unknown
Tb927.10.9500,Unknown,"expression site-associated gene (ESAG) protein, putative, expression site-associated gene 3 (ESAG3) protein, putative",ESAG,Unknown,Unknown
Tb927.11.140,Unknown,"expression site-associated gene 4 (ESAG4) protein, putative",ESAG,Unknown,Unknown
Tb927.11.1490,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative (fragment)",ESAG,Unknown,Unknown
Tb927.11.1530,Unknown,"expression site-associated gene 3 (ESAG3) protein, putative",ESAG,Unknown,Unknown
Tb927.11.17890,Unknown,"expression site-associated gene 1 (ESAG1) protein, putative",ESAG,Unknown,Unknown
Tb927.11.18650,Unknown,"expression site-associated gene 1 (ESAG1) protein, putative",ESAG,Unknown,Unknown
Tb927.3.2510,Unknown,"expression site-associated gene 2 (ESAG2) protein, putative",ESAG,Unknown,Unknown
Tb927.3.2510,Unknown,"expression site-associated gene 2 (ESAG2) protein, putative",ESAG,Unknown,Unknown
Tb927.3.2520,Unknown,"expression site-associated gene 1 (ESAG1) protein, putative",ESAG,Unknown,Unknown
Tb927.3.520,Unknown,"expression site-associated gene 1 (ESAG1) protein, putative",ESAG,Unknown,Unknown
Tb927.3.560,Unknown,"expression site-associated gene 11 (ESAG11) protein, putative",ESAG,Unknown,0
Tb927.3.570,Unknown,"expression site-associated gene 2 (ESAG2) protein, putative",ESAG,Unknown,Unknown
Tb927.3.5830,Unknown,"expression site-associated gene 1 (ESAG1) protein, putative",ESAG,Unknown,Unknown
Tb927.4.1200,Unknown,"expression site-associated gene 1 (ESAG1) protein, putative",ESAG,Unknown,Unknown
Tb927.4.3210,Unknown,"ESAG11-related protein, putative",ESAG,Unknown,Unknown
Tb927.4.3230,Unknown,"ESAG11-related protein, putative",ESAG,Unknown,Unknown
Tb927.4.3250,Unknown,"ESAG11-related protein, putative",ESAG,Unknown,Unknown
Tb927.4.3270,Unknown,"ESAG11-related protein, putative",ESAG,Unknown,Unknown
Tb927.4.3280,Unknown,"expression site-associated gene 2 (ESAG2) protein, putative",ESAG,Unknown,Unknown
Tb927.4.3290,Unknown,"Trypanosomal VSG domain containing protein, putative",ESAG,Unknown,Unknown
Tb927.4.3870,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",ESAG,Unknown,Unknown
Tb927.5.4620,Unknown,"expression site-associated gene (ESAG) protein, putative, expression site-associated gene 9 (ESAG9) protein, putative",ESAG,Unknown,Unknown
Tb927.5.4630,secretory/endocytic 1,"expression site-associated gene 1 (ESAG1) protein, putative, expression site-associated gene (ESAG) protein, putative",ESAG,secretory/endocytic 1,mitochondrion
Tb927.7.3250,Unknown,"expression site-associated gene 6 (ESAG6) protein, putative, expression site-associated gene (ESAG) protein, putative",ESAG,Unknown,Unknown
Tb927.7.3260,Unknown,"expression site-associated gene (ESAG) protein, putative, expression site-associated gene 7 (ESAG7) protein, putative",ESAG,Unknown,Unknown
Tb927.9.660,Unknown,"expression site-associated gene 1 (ESAG1) protein, expression site-associated gene (ESAG) protein",ESAG,Unknown,Unknown
Tb927.9.7320,endoplasmic reticulum,"expression site-associated gene 11 (ESAG11) protein, putative",ESAG,endoplasmic reticulum,0
Tb927.9.7330,Unknown,"expression site-associated gene 2 (ESAG2) protein, putative",ESAG,Unknown,Unknown
Tb927.9.7340,Unknown,"expression site-associated gene 9 (ESAG9) protein, putative",ESAG,Unknown,Unknown
Tb927.9.7370,Unknown,"expression site-associated gene 9 (ESAG9) protein, putative",ESAG,Unknown,Unknown
Tb927.9.7410,Unknown,"expression site-associated gene 2 (ESAG2) protein, putative",ESAG,Unknown,Unknown
Tb927.9.7420,Unknown,"expression site-associated gene 9 (ESAG9) protein, putative",ESAG,Unknown,Unknown
Tb11.v5.0732,Unknown,"hexokinase, putative",Glucose.glycerol,Unknown,Unknown
Tb927.9.12550,Unknown,"glycerol kinase, glycosomal",Glucose.glycerol,Unknown,Unknown
Tb11.v5.0116,Unknown,"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative",Glycans,Unknown,Unknown
Tb11.v5.0328,Unknown,"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative",Glycans,Unknown,Unknown
Tb11.v5.0880,Unknown,"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative",Glycans,Unknown,Unknown
Tb11.v5.0922,Unknown,"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative",Glycans,Unknown,Unknown
Tb11.v5.0975,Unknown,"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative",Glycans,Unknown,Unknown
Tb927.10.13900,secretory/endocytic 1,Nucleotide sugar transporter 1,Glycans,secretory/endocytic 1,0
Tb927.11.11670,endoplasmic reticulum,"dolichyl-lipid chaperone, putative",Glycans,endoplasmic reticulum,0
Tb927.11.9990,Unknown,glycosyl transferase-like protein,Glycans,Unknown,Unknown
Tb927.2.2380,endoplasmic reticulum,"glycosyltransferase (GlcNAc), putative",Glycans,endoplasmic reticulum,"cytoplasm[reticulated],endocytic[25%]"
Tb927.4.5250,Unknown,"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative",Glycans,Unknown,Unknown
Tb927.4.5260,Unknown,"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative",Glycans,Unknown,Unknown
Tb927.4.5270,Unknown,"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative",Glycans,Unknown,Unknown
Tb927.4.5280,Unknown,"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative",Glycans,Unknown,Unknown
Tb927.4.5290,Unknown,"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative",Glycans,Unknown,Unknown
Tb927.4.5300,Unknown,"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative",Glycans,Unknown,Unknown
Tb927.4.5790,Unknown,"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative",Glycans,Unknown,Unknown
Tb927.5.910,Unknown,"oligosaccharyl transferase subunit, putative",Glycans,Unknown,Unknown
Tb927.6.1820,Unknown,"dolichyl pyrophosphate phosphatase, putative",Glycans,Unknown,Unknown
Tb927.9.16190,Unknown,"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative",Glycans,Unknown,Unknown
Tb927.9.800,Unknown,"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative",Glycans,Unknown,Unknown
Tb927.10.13160,endoplasmic reticulum,"Glycosylphosphatidylinositol-anchor biosynthesis protein 18, gpi mannosyltransferase 2",GPI.anchors,endoplasmic reticulum,glycosome
Tb927.10.5080,endoplasmic reticulum,GPI transamidase component Tta2,GPI.anchors,endoplasmic reticulum,0
Tb927.6.3300,Unknown,GPI alpha-mannosyltransferase I,GPI.anchors,Unknown,Unknown
Tb05.5K5.180,Unknown,"BAC from homologous region on chr5, ATP pyrophosphate-lyase, putative, receptor-type adenylate cyclase GRESAG 4, putative, adenylyl cyclase, putative",GRESAG,Unknown,Unknown
Tb05.5K5.190,Unknown,"adenylyl cyclase, putative, ATP pyrophosphate-lyase, putative, receptor-type adenylate cyclase GRESAG 4, putative, BAC from homologous region on chr5",GRESAG,Unknown,Unknown
Tb927.10.16000,Unknown,"expression site-associated gene 4 (ESAG4) protein, putative",GRESAG,Unknown,Unknown
Tb927.10.2430,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.11.150,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.4.3750,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.4.3860,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.4.3880,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.5.1450,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.5.330,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.5.4540,Unknown,"adenylyl cyclase, putative, receptor-type adenylate cyclase GRESAG 4, putative, ATP pyrophosphate-lyase, putative",GRESAG,Unknown,Unknown
Tb927.5.4550,Unknown,"ATP pyrophosphate-lyase, putative, adenylyl cyclase, putative, receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.5.650,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.6.170,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.6.180,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.6.280,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.6.300,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.6.310,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.6.330,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.6.470,Unknown,"gene related to expression site-associated gene 2 (GRESAG2), putative",GRESAG,Unknown,Unknown
Tb927.6.500,Unknown,"gene related to expression site-associated gene 2 (GRESAG2), putative",GRESAG,Unknown,Unknown
Tb927.6.540,Unknown,"gene related to expression site-associated gene 2 (GRESAG2), putative",GRESAG,Unknown,Unknown
Tb927.7.6040,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.7.6070,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.7.6080,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.7.7520,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.8.7590,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.8.7860,secretory/endocytic 3,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,secretory/endocytic 3,0
Tb927.8.7870,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb927.8.7900,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,0
Tb927.8.8360,Unknown,"receptor-type adenylate cyclase GRESAG 4, putative",GRESAG,Unknown,Unknown
Tb11.v5.0514,Unknown,"cation transporter, putative",Ions,Unknown,Unknown
Tb927.1.580,Unknown,"phosphate-repressible phosphate permease, putative",Ions,Unknown,Unknown
Tb927.10.4300,Unknown,Trk system potassium uptake protein,Ions,Unknown,Unknown
Tb927.11.9000,Unknown,"cation transporter, putative",Ions,Unknown,Unknown
Tb927.11.9010,Unknown,"cation transporter, putative",Ions,Unknown,Unknown
Tb927.11.9020,Unknown,"cation transporter, putative",Ions,Unknown,Unknown
Tb927.11.9030,Unknown,"cation transporter, putative",Ions,Unknown,Unknown
Tb05.5K5.170,endoplasmic reticulum,"ATP pyrophosphate-lyase, putative, elongation of very long chain fatty acids protein, putative, BAC from homologous region on chr5",Lipids,endoplasmic reticulum,0
Tb927.1.2740,Unknown,"lipase-like protein, putative",Lipids,Unknown,Unknown
Tb927.10.13400,Unknown,"Phosphatidic acid phostphatase, putative",Lipids,Unknown,Unknown
Tb927.10.13700,Unknown,"phosphatidic acid phosphatase alpha, putative",Lipids,Unknown,Unknown
Tb927.10.690,Unknown,"palmitoyl acyltransferase 3, putative",Lipids,Unknown,"endocytic,cytoplasm[weak]"
Tb927.11.7230,Unknown,"palmitoyl acyltransferase 8, putative",Lipids,Unknown,Unknown
Tb927.3.2400,Unknown,"palmitoyl acyltransferase 10, putative",Lipids,Unknown,0
Tb927.4.2560,Unknown,cardiolipin synthetase,Lipids,Unknown,Unknown
Tb927.5.4530,Unknown,Long chain fatty acyl elongase,Lipids,Unknown,Unknown
Tb927.8.3400,Unknown,"palmitoyl acyltransferase 12, putative",Lipids,Unknown,Unknown
Tb927.8.480,Unknown,"phosphatidic acid phosphatase protein, putative",Lipids,Unknown,Unknown
Tb927.9.9400,secretory/endocytic 1,ceramide phosphorylethanolamine synthase,Lipids,secretory/endocytic 1,"cytoplasm[reticulated,points]"
Tb11.v5.0448,Unknown,"leucine-rich repeat protein (LRRP), putative",LRRP,Unknown,Unknown
Tb11.v5.0551,Unknown,"leucine-rich repeat protein (LRRP), putative",LRRP,Unknown,Unknown
Tb11.v5.0560,Unknown,"leucine-rich repeat protein (LRRP), putative",LRRP,Unknown,Unknown
Tb11.v5.0602,Unknown,"leucine-rich repeat protein 1 (LRRP1), putative",LRRP,Unknown,Unknown
Tb11.v5.0703,Unknown,"leucine-rich repeat protein (LRRP), putative",LRRP,Unknown,Unknown
Tb11.v5.0838,Unknown,"leucine-rich repeat protein (LRRP), putative",LRRP,Unknown,Unknown
Tb927.1.290,Unknown,"leucine-rich repeat protein (LRRP), putative",LRRP,Unknown,Unknown
Tb927.1.3320,Unknown,"leucine-rich repeat protein (LRRP), putative",LRRP,Unknown,Unknown
Tb927.1.480,Unknown,"leucine-rich repeat protein (LRRP), putative",LRRP,Unknown,Unknown
